n t x y v.x v.y a.x a.y
87 87 -0.89812 9.61998 -2.01236 -0.71387 -0.0995767 1.06659
88 88 -2.86069 8.37282 -1.96257 -1.24717 -0.412982 1.20874
89 89 -4.61677 6.52129 -1.75608 -1.85153 -0.905068 1.27843
90 90 -5.92031 4.03054 -1.30355 -2.49075 -1.61149 1.0971
91 91 -6.41812 0.991241 -0.4978 -3.0393 -2.3433 0.36191
92 92 -5.74426 -2.22901 0.673851 -3.22025 -2.4556 -0.952876
93 93 -3.84261 -4.97283 1.90165 -2.74381 -1.54817 -2.00353
94 94 -1.16687 -6.71488 2.67574 -1.74205 -0.368577 -2.12101
95 95 1.69316 -7.39642 2.86003 -0.681543 0.387579 -1.69311
96 96 4.35939 -7.23141 2.66624 0.165011 0.724126 -1.20119
97 97 6.66357 -6.4658 2.30418 0.765604 0.832477 -0.80777
98 98 8.55151 -5.29631 1.88794 1.16949 0.840245 -0.520399
99 99 10.0193 -3.86662 1.46781 1.42969 0.808876 -0.312159
